,objID,ra,dec,R_mag,r0,g_z0,u_g,g_z,g_r,g_i,r_i,r_z,petroRad_r,flags,flag_text,specObjID,z,zErr,zWarning,class,subClass,distance
0,1237661059574334072,49.9325721909726,41.4569819791321,15.13689,14.76837,1.594644,2.148634,1.923657,1.00928,1.530828,0.5215483,0.9143772,6.452093,35184640524304,DEBLENDED_AT_EDGE BINNED1 CHILD ,1875797123736299520,0.01302455,6.971062e-06,0,GALAXY,BROADLINE,3.42643799612177
2,1237661059574334114,50.0299197642029,41.552969242595,18.42844,18.05426,2.554867,3.159212,2.888931,1.52495,2.367767,0.8428173,1.363981,1.11518,105624251793752,DEBLEND_NOPEAK DEBLENDED_AT_EDGE STATIONARY MOVED BINNED1 INTERP NOPETRO NODEBLEND CHILD BLENDED ,1875902951730472960,-0.0003445202,1.135527e-05,0,STAR,M1,4.43771356642095
3,1237661059574399247,49.9883305149312,41.4458746990913,18.0516,17.68357,2.488631,2.7271,2.8172,1.565123,2.373089,0.8079662,1.252077,1.147057,35253360136208,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP COSMIC_RAY CHILD ,1875796848858392576,5.226525e-05,9.353527e-06,0,STAR,M0,4.4464867196664
5,1237661059574333649,49.9286896562222,41.6007242294404,15.77401,15.39343,1.370379,1.872707,1.710159,0.9069777,1.365982,0.4590044,0.8031816,4.65459,193583034535952,PSF_FLUX_INTERP DEBLENDED_AT_EDGE INTERP_CENTER STATIONARY BINNED1 INTERP COSMIC_RAY CHILD ,1875890582224660480,0.01177933,8.462544e-06,0,GALAXY,BROADLINE,5.31927576279503
7,1237661059574334013,49.9705060262728,41.6087855128691,15.59959,15.21926,1.334891,1.906456,1.674442,0.8993855,1.351961,0.4525757,0.7750568,12.8319,193583034536024,PSF_FLUX_INTERP DEBLENDED_AT_EDGE INTERP_CENTER STATIONARY BINNED1 INTERP COSMIC_RAY NODEBLEND CHILD BLENDED ,1875887283689777152,0.01848275,1.179868e-05,0,GALAXY,,5.8397650463499
9,1237661059574269422,49.822002444993,41.5762271268554,17.37616,17.00014,0.6883512,1.537458,1.024059,0.6469975,0.8772926,0.2302952,0.3770618,1.280817,35221147746320,DEBLENDED_AT_EDGE BAD_MOVING_FIT MOVED BINNED1 CHILD ,1875885634422335488,-0.0002072961,9.110944e-06,0,STAR,F9,6.76038940085921
11,1237661122388033567,49.8433339393247,41.4293429843872,14.28693,13.91953,1.594043,2.131654,1.922055,1.021379,1.532359,0.5109797,0.9006758,6.129025,35255507619856,DEBLENDED_AT_EDGE STATIONARY MOVED BINNED1 INTERP COSMIC_RAY CHILD ,1875799322759555072,0.01811284,6.345218e-06,0,GALAXY,,6.84470627985726
13,1237661122388033863,49.9367551285574,41.3986865815753,17.1254,16.75802,1.713811,2.371679,2.041801,1.170483,1.675606,0.5051231,0.8713188,18.01605,35253360132368,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP NOPETRO CHILD ,1874671498455705600,0.1352367,2.437193e-05,0,GALAXY,,6.87935586041929
14,1237661059574268835,49.7836819044895,41.5217218861315,17.01961,16.65221,0.4356767,1.254475,0.7636795,0.487257,0.6695518,0.1822948,0.2764225,1.153645,68987912704,STATIONARY BINNED1 MANYPETRO ,1875884809788614656,4.446892e-05,9.889251e-06,0,STAR,G0,7.34187696691669
16,1237661059574333464,49.9061197597231,41.6328754033241,14.68653,14.29856,1.43324,1.979682,1.779612,0.9529448,1.427343,0.4743986,0.8266668,9.281603,35184641183764,DEBLENDED_AT_EDGE BINNED1 NOTCHECKED INTERP COSMIC_RAY CHILD EDGE ,1875888383201404928,0.02863127,5.421423e-06,0,GALAXY,,7.41377299764801
18,1237661059574333719,50.025488379003,41.6300421407339,13.46985,13.0895,1.630879,2.235578,1.970453,1.050948,1.576554,0.5256062,0.9195051,11.39941,35219000397840,DEBLENDED_AT_EDGE BAD_MOVING_FIT BINNED1 INTERP COSMIC_RAY CHILD ,1875902127096752128,0.01407554,6.614196e-06,0,GALAXY,BROADLINE,7.85744049206873
